user_id,song_id,weight
703680,155818,527.5661771200643
801034,674816,533.7351724435665
975852,181501,545.2537495731245
563786,589532,386.1365956431068
680731,173540,572.7734255889163
580347,467336,3752.9915791680423
510457,683627,2745.7189000712374
427619,139708,694.20234570499
582638,111351,481.9699480871167
677984,222168,74.32847067852359
763494,116583,880.8416263176957
565110,776827,487.7978001382549
229032,576192,0.0
789430,858686,0.0
792900,697735,409.4900580035819
806119,720021,167.99510235139593
185660,358492,1482.8148226685496
703102,892846,2526.7224277366286
886976,359964,154.39414432254156
228705,744225,1051.5598561732681
685281,168036,286.8942386635018
457281,676985,1538.5655901423302
687507,79564,110.65684142498506
976288,853711,2134.607524412212
834376,660710,1815.7113092461766
652344,412048,556.7702283292978
567610,695522,935.7077199330611
757732,561824,1446.584946589581
880154,289302,1868.0501747125638
87420,368515,81.63288126495763
656073,500298,1356.1921608602524
233136,230551,1302.9598337568482
23425,168259,716.8270818912958
267531,712748,1153.5591867538728
500785,600576,226.57162036495845
464862,681692,583.1128513871716
175764,731273,0.0
485906,682351,4334.056750614928
564202,830738,919.0220428745731
39784,432562,0.0
708871,945506,0.0
960886,124092,2821.66015453201
617317,481574,1996.612333751113
432054,232504,439.07843269594315
888088,178147,0.0
827484,175115,1357.772982012667
101403,810856,648.1691848634002
198599,930630,827.622823483565
184614,885751,234.16369919627704
168685,991132,1062.4434251571865
360936,181501,0.0
594395,467336,1961.9549721313344
960230,944806,578.7090827819259
983077,453204,0.0
914527,19394,247.65200042653674
134594,361613,2632.4762748837493
257737,322436,0.0
514611,742056,255.66917471359852
90287,46897,0.0
960206,155818,18.527856594048757
196165,323222,0.0
847891,545918,1203.176902662223
927322,634974,1028.3316306254433
728367,610392,0.0
138760,354754,0.0
383577,43041,0.0
756469,203088,1051.2576288164782
263144,419839,521.1073393428951
688290,810856,601.5367613807132
229999,173540,823.6394794986942
873523,71619,194.25510884797836
826268,477242,200.47673596246432
196767,405050,2709.3321928545915
956139,429815,629.4454681633796
853921,247498,740.1589551439323
642482,209007,882.5667721242958
192054,947232,630.9971261733476
991436,950081,4454.379208138629
402936,359220,994.2923659561868
73483,343176,0.0
665395,696504,0.0
94128,191805,1121.401081191719
733443,784640,0.0
145024,149616,945.3137940730105
87420,357060,135.59700040335224
939428,443963,1218.5485202491682
845022,172970,103.15356098789567
73989,442208,2724.0292238469347
748236,43055,403.62081351074
961715,780093,0.0
789805,753436,177.5181340302011
321379,361613,1052.4118420910033
298171,137151,0.0
473629,964047,2067.3916490667643
961018,278805,0.0
922821,845427,1294.6437697552678
746758,543648,228.4782454794851
199796,923116,665.4985779605584
567276,361613,1737.87187808186
787431,76576,87.71266394399856
809388,421331,0.0
956839,530632,879.2001321282615
645071,272457,425.296880469001
497095,958530,32.14075348335905
303215,325011,588.4051492369216
616654,166845,1031.5444300962029
402769,429117,260.29312936754104
387838,789786,926.3934234621823
280445,278805,488.36122148052175
921397,845427,243.56624899430062
5545,138995,554.9976763683003
269328,843807,0.0
